Generating synthetic dataset ...
Train: (2000, 1, 16, 16)  Val: (400, 1, 16, 16)
Config: {'conv_layers': [(8, 3, 1)], 'pool_size': 2, 'pool_stride': 2, 'dense_layers': [64], 'n_classes': 10, 'batch_size': 32, 'n_epochs': 3, 'lr': 0.001, 'weight_decay': 0.0001, 'seed': 42, 'input_shape': (1, 16, 16)}

Epoch   1 | loss 0.4992 | val acc 1.0000
Epoch   2 | loss 0.0270 | val acc 1.0000
Epoch   3 | loss 0.0097 | val acc 1.0000

Final val accuracy: 1.0000
         568786 function calls (566246 primitive calls) in 1.856 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      373    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1(<module>)
       13    0.000    0.000    0.000    0.000 typing.py:2128(__init_subclass__)
      251    0.000    0.000    0.000    0.000 typing.py:1276(__getattr__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
      702    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
       50    0.000    0.000    0.000    0.000 typing.py:365(_flatten_literal_params)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
      978    0.000    0.000    0.000    0.000 typing.py:1355(__eq__)
      532    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      116    0.000    0.000    0.000    0.000 inspect.py:2680(__init__)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
      942    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1140    0.000    0.000    0.000    0.000 _arraypad_impl.py:110(<genexpr>)
      228    0.000    0.000    0.000    0.000 cnn.py:195(forward)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
       41    0.000    0.000    0.000    0.000 dataclasses.py:825(_get_field)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
      350    0.000    0.000    0.000    0.000 function_base.py:456(_needs_add_docstring)
     2419    0.000    0.000    0.000    0.000 {method 'isspace' of 'str' objects}
       13    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
      617    0.000    0.000    0.000    0.000 _parser.py:261(get)
        1    0.000    0.000    0.000    0.000 argparse.py:2002(parse_args)
        1    0.000    0.000    0.000    0.000 argparse.py:2012(parse_known_args)
       16    0.000    0.000    0.000    0.000 _compiler.py:525(_compile_info)
      458    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 argparse.py:2015(_parse_known_args2)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:448(cb)
        1    0.000    0.000    0.000    0.000 _scimath_impl.py:1(<module>)
     1196    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      150    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      577    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1229(__exit__)
     1334    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:494(_verbose_message)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1000(exec_module)
  540/521    0.000    0.000    0.000    0.000 typing.py:1361(__hash__)
      189    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1131(find_spec)
     1065    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       11    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 argparse.py:2053(_parse_known_args)
        4    0.000    0.000    0.000    0.000 inspect.py:3255(__str__)
        2    0.000    0.000    0.000    0.000 typing.py:3139(__new__)
       31    0.000    0.000    0.000    0.000 _compiler.py:248(_optimize_charset)
      282    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      577    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1225(__enter__)
      157    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
    97/69    0.000    0.000    0.000    0.000 annotationlib.py:1131(_get_dunder_annotations)
        4    0.000    0.000    0.000    0.000 inspect.py:3258(format)
      285    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:648(parent)
    343/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
      228    0.000    0.000    0.000    0.000 _function_base_impl.py:363(iterable)
        1    0.000    0.000    0.000    0.000 _py_warnings.py:1(<module>)
       20    0.000    0.000    0.000    0.000 fromnumeric.py:2207(clip)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      421    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
     1906    0.000    0.000    0.000    0.000 typing.py:1345(<genexpr>)
